planning_area,employed,unemployed,inactive,year,gender,planningArea
Bedok,77137,4493,32010,2020,Male,BEDOK
Bedok,68078,4725,52291,2020,Female,BEDOK
Bukit Timah,19534,904,8797,2020,Male,BUKIT TIMAH
Bukit Timah,17468,974,15286,2020,Female,BUKIT TIMAH
Bukit Batok,48736,2809,15930,2020,Male,BUKIT BATOK
Bukit Batok,41742,3181,26774,2020,Female,BUKIT BATOK
Bukit Merah,40374,2899,17548,2020,Male,BUKIT MERAH
Bukit Merah,38329,2031,27404,2020,Female,BUKIT MERAH
Central Water Catchment,0,0,0,2020,Male,CENTRAL WATER CATCHMENT
Central Water Catchment,0,0,0,2020,Female,CENTRAL WATER CATCHMENT
Downtown Core,1024,35,245,2020,Male,DOWNTOWN CORE
Downtown Core,938,31,447,2020,Female,DOWNTOWN CORE
Changi,0,0,0,2020,Male,CHANGI
Changi,0,0,0,2020,Female,CHANGI
Changi Bay,0,0,0,2020,Male,CHANGI BAY
Changi Bay,0,0,0,2020,Female,CHANGI BAY
Lim Chu Kang,0,0,0,2020,Male,LIM CHU KANG
Lim Chu Kang,0,0,0,2020,Female,LIM CHU KANG
Boon Lay,0,0,0,2020,Male,BOON LAY
Boon Lay,0,0,0,2020,Female,BOON LAY
Western Water Catchment,0,0,0,2020,Male,WESTERN WATER CATCHMENT
Western Water Catchment,0,0,0,2020,Female,WESTERN WATER CATCHMENT
Woodlands,77451,4677,24645,2020,Male,WOODLANDS
Woodlands,61252,4877,42044,2020,Female,WOODLANDS
Marine Parade,11406,736,5266,2020,Male,MARINE PARADE
Marine Parade,10723,747,9569,2020,Female,MARINE PARADE
Newton,0,0,0,2020,Male,NEWTON
Newton,0,0,0,2020,Female,NEWTON
North-Eastern Islands,0,0,0,2020,Male,NORTH-EASTERN ISLANDS
North-Eastern Islands,0,0,0,2020,Female,NORTH-EASTERN ISLANDS
Orchard,0,0,0,2020,Male,ORCHARD
Orchard,0,0,0,2020,Female,ORCHARD
Pasir Ris,45475,2402,15477,2020,Male,PASIR RIS
Pasir Ris,39252,2787,24843,2020,Female,PASIR RIS
Pioneer,0,0,0,2020,Male,PIONEER
Pioneer,0,0,0,2020,Female,PIONEER
Punggol,50365,2447,11953,2020,Male,PUNGGOL
Punggol,45171,2798,22613,2020,Female,PUNGGOL
Queenstown,24501,1547,10502,2020,Male,QUEENSTOWN
Queenstown,23799,1747,18206,2020,Female,QUEENSTOWN
Sembawang,31880,1874,8834,2020,Male,SEMBAWANG
Sembawang,27629,1857,15878,2020,Female,SEMBAWANG
Simpang,0,0,0,2020,Male,SIMPANG
Simpang,0,0,0,2020,Female,SIMPANG
