planning_area,total,below_sgd_1000,no_working_person,sgd_10000_over,sgd_10000_to_10999,sgd_11000_to_11999,sgd_1000_to_1999,sgd_12000_to_12999,sgd_13000_to_13999,sgd_14000_to_14999,sgd_15000_to_17499,sgd_17500_to_19999,sgd_20000_over,sgd_2000_to_2999,sgd_3000_to_3999,sgd_4000_to_4999,sgd_5000_to_5999,sgd_6000_to_6999,sgd_7000_to_7999,sgd_8000_over,sgd_8000_to_8999,sgd_9000_to_9999,year,planningArea,Result
Bedok,97553.0,2203.0,16818.0,0.0,3291.0,2685.0,5278.0,2620.0,2564.0,1838.0,4080.0,3349.0,17125.0,5245.0,5521.0,4641.0,5102.0,3868.0,4229.0,0.0,3455.0,3641.0,2020.0,BEDOK,
Bukit Timah,24612.0,294.0,3846.0,0.0,617.0,553.0,364.0,482.0,445.0,471.0,1249.0,1102.0,11174.0,455.0,356.0,474.0,559.0,485.0,623.0,0.0,575.0,488.0,2020.0,BUKIT TIMAH,
Bukit Batok,54298.0,847.0,5983.0,0.0,2003.0,2187.0,3328.0,1504.0,1640.0,1475.0,2963.0,2037.0,7142.0,3031.0,3136.0,3200.0,3206.0,2713.0,2731.0,0.0,2813.0,2359.0,2020.0,BUKIT BATOK,
Bukit Merah,59701.0,1899.0,12444.0,0.0,2012.0,1748.0,4583.0,1536.0,1337.0,1360.0,3129.0,2025.0,7748.0,3478.0,3465.0,2339.0,2557.0,2173.0,2255.0,0.0,1826.0,1787.0,2020.0,BUKIT MERAH,
Central Water Catchment,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020.0,CENTRAL WATER CATCHMENT,
Downtown Core,1546.0,21.0,175.0,0.0,53.0,47.0,22.0,53.0,42.0,16.0,102.0,70.0,632.0,32.0,25.0,47.0,48.0,45.0,20.0,0.0,49.0,47.0,2020.0,DOWNTOWN CORE,
Changi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020.0,CHANGI,
Changi Bay,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020.0,CHANGI BAY,
Lim Chu Kang,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020.0,LIM CHU KANG,
,,,,,,,,,,,,,,,,,,,,,,,,BOON LAY,No Data Available!
Western Water Catchment,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020.0,WESTERN WATER CATCHMENT,
Woodlands,78842.0,1293.0,7133.0,0.0,3379.0,3239.0,3913.0,2861.0,2903.0,2152.0,4524.0,2669.0,5064.0,4488.0,5132.0,5032.0,5584.0,5249.0,5025.0,0.0,4606.0,4596.0,2020.0,WOODLANDS,
Marine Parade,17070.0,339.0,3552.0,0.0,468.0,426.0,683.0,366.0,304.0,253.0,773.0,661.0,4770.0,652.0,736.0,595.0,510.0,500.0,460.0,0.0,573.0,449.0,2020.0,MARINE PARADE,
Newton,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020.0,NEWTON,
North-Eastern Islands,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020.0,NORTH-EASTERN ISLANDS,
Orchard,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020.0,ORCHARD,
Pasir Ris,44799.0,587.0,3702.0,0.0,2230.0,2017.0,1198.0,2104.0,1608.0,1643.0,3415.0,2434.0,7885.0,1408.0,1691.0,1768.0,2318.0,2078.0,2281.0,0.0,1994.0,2438.0,2020.0,PASIR RIS,
Pioneer,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020.0,PIONEER,
Punggol,56166.0,877.0,3531.0,0.0,2952.0,2623.0,2397.0,2474.0,2252.0,1764.0,4089.0,2858.0,6077.0,2418.0,3108.0,3060.0,2987.0,2975.0,3280.0,0.0,3317.0,3127.0,2020.0,PUNGGOL,
Queenstown,37054.0,774.0,7776.0,0.0,1143.0,916.0,2408.0,1174.0,933.0,787.0,2083.0,1571.0,5460.0,1708.0,1924.0,1682.0,1515.0,1355.0,1304.0,0.0,1277.0,1264.0,2020.0,QUEENSTOWN,
Sembawang,33051.0,586.0,2716.0,0.0,1645.0,1397.0,1395.0,1237.0,1310.0,1190.0,1866.0,1511.0,2847.0,1695.0,2066.0,1979.0,2090.0,1931.0,1925.0,0.0,1882.0,1783.0,2020.0,SEMBAWANG,
Simpang,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020.0,SIMPANG,
